"LH0Date","LH0Close","LH0_hpft","LH0_hpfc"
2021-01-11,26030,28608.5273966184,-2578.52739661842
2021-01-12,25560,28555.2098830184,-2995.20988301844
2021-01-13,25870,28501.8913035589,-2631.89130355894
2021-01-14,24890,28448.569354281,-3558.56935428103
2021-01-15,24725,28395.2406433078,-3670.24064330785
2021-01-18,25140,28341.900307793,-3201.90030779299
2021-01-19,25025,28288.5419677602,-3263.54196776022
2021-01-20,24910,28235.1579196964,-3325.1579196964
2021-01-21,24870,28181.7391110715,-3311.73911107147
2021-01-22,24565,28128.2751148685,-3563.27511486855
2021-01-25,24930,28074.7541351313,-3144.75413513133
2021-01-26,25555,28021.1629029886,-2466.16290298864
2021-01-27,25275,27967.4868496545,-2692.48684965455
2021-01-28,25190,27913.7103869306,-2723.71038693063
2021-01-29,25570,27859.8168136522,-2289.81681365215
2021-02-01,25685,27805.7883027821,-2120.78830278209
2021-02-02,25380,27751.6060807662,-2371.60608076617
2021-02-03,25315,27697.2504974008,-2382.25049740079
2021-02-04,25445,27642.7009221557,-2197.70092215575
2021-02-05,26170,27587.9357397743,-1417.93573977427
2021-02-08,26900,27532.9324265586,-632.932426558585
2021-02-09,26845,27477.6678726935,-632.667872693453
2021-02-10,26705,27422.1187067339,-717.118706733915
2021-02-18,27000,27366.2612957169,-366.261295716929
2021-02-19,28330,27310.0717102504,1019.92828974956
2021-02-22,29380,27253.525869545,2126.47413045498
2021-02-23,28980,27196.6001144083,1783.39988559173
2021-02-24,28900,27139.2716646466,1760.72833535339
2021-02-25,28915,27081.5184772534,1833.48152274665
2021-02-26,28970,27023.3192370347,1946.68076296532
2021-03-01,29185,26964.6533866846,2220.3466133154
2021-03-02,28750,26905.5011735778,1844.49882642224
2021-03-03,28785,26845.8437628903,1939.15623710967
2021-03-04,28845,26785.6630822404,2059.33691775965
2021-03-05,28400,26724.9418608134,1675.05813918661
2021-03-08,28545,26663.6636790442,1881.33632095577
2021-03-09,27900,26601.8128097689,1298.18719023109
2021-03-10,28050,26539.3743034899,1510.6256965101
2021-03-11,28595,26476.3337473311,2118.66625266889
2021-03-12,28750,26412.6773528467,2337.32264715334
2021-03-15,28405,26348.3922073624,2056.60779263765
2021-03-16,28450,26283.4663643597,2166.53363564033
2021-03-17,28610,26217.8887274396,2392.1112725604
2021-03-18,28470,26151.6490957588,2318.35090424119
2021-03-19,28505,26084.7382572783,2420.26174272167
2021-03-22,28250,26017.1479582726,2232.85204172737
2021-03-23,28135,25948.8709454555,2186.1290545445
2021-03-24,28000,25879.9008885075,2120.09911149248
2021-03-25,27520,25810.2323607727,1709.76763922733
2021-03-26,27215,25739.8608119562,1475.13918804377
2021-03-29,26555,25668.7823985132,886.21760148685
2021-03-30,27030,25596.9938866598,1433.00611334017
2021-03-31,26985,25524.4924089426,1460.50759105741
2021-04-01,27940,25451.2756902527,2488.72430974733
2021-04-02,27660,25377.342059197,2282.65794080299
2021-04-06,27120,25302.69087312,1817.30912687997
2021-04-07,26810,25227.3224329264,1582.67756707356
2021-04-08,26920,25151.237790724,1768.76220927603
2021-04-09,26610,25074.4386528329,1535.56134716709
2021-04-12,27095,24996.9274567121,2098.07254328791
2021-04-13,27605,24918.7072745576,2686.29272544243
2021-04-14,27425,24839.7820458247,2585.21795417529
2021-04-15,27190,24760.1568203738,2429.84317962621
2021-04-16,26920,24679.8377166931,2240.16228330691
2021-04-19,27180,24598.8318576667,2581.1681423333
2021-04-20,27110,24517.147292173,2592.85270782701
2021-04-21,27170,24434.793136042,2735.20686395798
2021-04-22,27195,24351.779576883,2843.22042311699
2021-04-23,27720,24268.1179329316,3451.88206706843
2021-04-26,27370,24183.8206976956,3186.17930230435
2021-04-27,27035,24098.9017915533,2936.09820844666
2021-04-28,27250,24013.3764519198,3236.62354808024
2021-04-29,27320,23927.2611298753,3392.73887012472
2021-04-30,27290,23840.573614392,3449.42638560804
2021-05-06,26700,23753.3330968616,2946.66690313844
2021-05-07,26900,23665.5601945309,3234.43980546907
2021-05-10,25005,23577.2767426799,1427.72325732006
2021-05-11,24950,23488.5059135769,1461.49408642312
2021-05-12,25255,23399.2714696516,1855.72853034845
2021-05-13,25020,23309.5977774584,1710.40222254156
2021-05-14,24970,23219.5099706349,1750.49002936512
2021-05-17,24940,23129.0338898308,1810.9661101692
2021-05-18,24585,23038.196099276,1546.80390072397
2021-05-19,23550,22947.0239117827,602.976088217329
2021-05-20,23565,22855.5452795496,709.454720450422
2021-05-21,23890,22763.7884040203,1126.21159597968
2021-05-24,23940,22671.7817798999,1268.21822010006
2021-05-25,23895,22579.5543674236,1315.44563257637
2021-05-26,23120,22487.1356510567,632.864348943312
2021-05-27,22445,22394.5556590166,50.4443409834474
2021-05-28,22485,22301.8446811218,183.155318878194
2021-05-31,22245,22209.0330280424,35.9669719575511
2021-06-01,22025,22116.1510861576,-91.1510861575767
2021-06-02,21525,22023.2292567137,-498.229256713671
2021-06-03,20640,21930.2979032789,-1290.29790327886
2021-06-04,19870,21837.3871834734,-1967.38718347344
2021-06-07,20025,21744.5267215604,-1719.52672156035
2021-06-08,19770,21651.7453285638,-1881.74532856381
2021-06-09,20215,21559.0711047252,-1344.07110472521
2021-06-10,19935,21466.5313724472,-1531.53137244719
2021-06-11,19795,21374.1528985483,-1579.15289854833
2021-06-15,18810,21281.9618167738,-2471.96181677383
2021-06-16,18970,21189.9836081098,-2219.98360810978
2021-06-17,18465,21098.2427317326,-2633.24273173258
2021-06-18,17600,21006.7627291673,-3406.7627291673
2021-06-21,16735,20915.5660534629,-4180.56605346286
2021-06-22,17040,20824.6737494484,-3784.67374944836
2021-06-23,18160,20734.1051338752,-2574.10513387519
2021-06-24,17840,20643.877959063,-2803.87795906304
2021-06-25,18925,20554.0089132999,-1629.00891329992
2021-06-28,18925,20464.5135258639,-1539.51352586386
2021-06-29,19240,20375.4066526665,-1135.40665266651
2021-06-30,19370,20286.7025132454,-916.702513245403
2021-07-01,18890,20198.4148578065,-1308.41485780648
2021-07-02,18580,20110.557057628,-1530.55705762805
2021-07-05,18745,20023.1419431432,-1278.14194314324
2021-07-06,18985,19936.1817121136,-951.18171211363
2021-07-07,18625,19849.6880339684,-1224.68803396841
2021-07-08,18865,19763.6721849561,-898.67218495608
2021-07-09,19165,19678.1449350893,-513.144935089319
2021-07-12,18760,19593.1166829056,-833.116682905596
2021-07-13,18270,19508.5976148278,-1238.5976148278
2021-07-14,18210,19424.5975729043,-1214.59757290426
2021-07-15,18120,19341.1258871943,-1221.12588719425
2021-07-16,18400,19258.1913856931,-858.191385693111
2021-07-19,18785,19175.8023916304,-390.802391630403
2021-07-20,18840,19093.9668734945,-253.966873494539
2021-07-21,18740,19012.6926382315,-272.692638231523
2021-07-22,18375,18931.9873878089,-556.98738780885
2021-07-23,18295,18851.8587114723,-556.858711472256
2021-07-26,18460,18772.3139682331,-312.313968233067
2021-07-27,18390,18693.3602869187,-303.360286918731
2021-07-28,18430,18615.0046672582,-185.004667258202
2021-07-29,18600,18537.253983584,62.7460164159544
2021-07-30,18765,18460.1150337553,304.88496624473
2021-08-02,18160,18383.594641567,-223.594641567045
2021-08-03,18780,18307.6997568429,472.300243157105
2021-08-04,18655,18232.4372369795,422.562763020474
2021-08-05,17400,18157.8141346039,-757.814134603861
2021-08-06,17550,18083.8376770154,-533.837677015353
2021-08-09,17365,18010.5147782627,-645.514778262694
2021-08-10,17025,17937.8521317274,-912.852131727435
2021-08-11,17085,17865.8561639607,-780.856163960726
2021-08-12,18275,17794.532924177,480.467075823047
2021-08-13,18140,17723.8881388149,416.111861185084
2021-08-16,18130,17653.9277329229,476.072267077107
2021-08-17,18030,17584.6578035502,445.342196449771
2021-08-18,17685,17516.0846445363,168.915355463734
2021-08-19,17360,17448.2147338067,-88.2147338066602
2021-08-20,17775,17381.0546191108,393.945380889208
2021-08-23,17000,17314.6108117334,-314.610811733421
2021-08-24,16895,17248.8899857977,-353.889985797744
2021-08-25,16985,17183.8986853841,-198.898685384067
2021-08-26,17140,17119.6433082864,20.3566917136342
2021-08-27,17175,17056.1301700793,118.869829920666
2021-08-30,16430,16993.3655947565,-563.365594756537
2021-08-31,16760,16931.3559554458,-171.355955445776
2021-09-01,16565,16870.1073924021,-305.107392402068
2021-09-02,16085,16809.6259750493,-724.625975049342
2021-09-03,16090,16749.9176466908,-659.917646690843
2021-09-06,15965,16690.9880511018,-725.988051101763
2021-09-07,15910,16632.8425592718,-722.842559271777
2021-09-08,15585,16575.4862420963,-990.486242096272
2021-09-09,14995,16518.9238716765,-1523.92387167655
2021-09-10,15070,16463.1598106873,-1393.1598106873
2021-09-13,14575,16408.1977918748,-1833.19779187479
2021-09-14,14385,16354.0409721055,-1969.04097210551
2021-09-15,14110,16300.6917504806,-2190.69175048058
2021-09-16,14580,16248.1517121762,-1668.15171217615
2021-09-17,14175,16196.4215368258,-2021.4215368258
2021-09-22,13685,16145.5012145149,-2460.50121451491
2021-09-23,13600,16095.3898997542,-2495.38989975423
2021-09-24,13670,16046.0857299845,-2376.08572998452
2021-09-27,14360,15997.5858111492,-1637.58581114924
2021-09-28,13920,15949.8862670165,-2029.88626701647
2021-09-29,13870,15902.9825444408,-2032.98254444081
2021-09-30,13880,15856.8692512044,-1976.86925120441
2021-10-08,14225,15811.5401547353,-1586.54015473527
2021-10-11,15285,15766.9882053034,-481.988205303381
2021-10-12,15290,15723.2056973669,-433.205697366935
2021-10-13,15410,15680.1847261499,-270.184726149907
2021-10-14,14685,15637.9172078075,-952.917207807479
2021-10-15,15175,15596.3949468082,-421.394946808165
2021-10-18,15845,15555.6093537262,289.390646273803
2021-10-19,16375,15515.5516649475,859.448335052478
2021-10-20,16225,15476.2132364771,748.786763522928
2021-10-21,15815,15437.5857795849,377.414220415112
2021-10-22,16325,15399.6613150572,925.338684942754
2021-10-25,17185,15362.4320196911,1822.56798030889
2021-10-26,17320,15325.8904527787,1994.1095472213
2021-10-27,17495,15290.0299269881,2204.97007301188
2021-10-28,17385,15254.8445792742,2130.15542072577
2021-10-29,16705,15220.329458037,1484.67054196299
2021-11-01,15885,15186.4804921965,698.519507803471
2021-11-02,16205,15153.294224377,1051.70577562295
2021-11-03,16245,15120.7674859409,1124.23251405906
2021-11-04,16705,15088.8975429846,1616.1024570154
2021-11-05,16675,15057.6821263171,1617.31787368287
2021-11-08,16245,15027.1196347796,1217.88036522035
2021-11-09,16155,14997.209135747,1157.79086425298
2021-11-10,16200,14967.9502000159,1232.04979998414
2021-11-11,15915,14939.3428769674,975.657123032643
2021-11-12,16250,14911.3877252633,1338.61227473666
2021-11-15,16725,14884.0857068646,1840.91429313538
2021-11-16,16280,14857.4383370571,1422.56166294291
2021-11-17,16095,14831.4478920881,1263.5521079119
2021-11-18,16240,14806.1172362391,1433.8827637609
2021-11-19,16490,14781.4497560833,1708.55024391667
2021-11-22,16200,14757.4494309108,1442.55056908923
2021-11-23,16315,14734.1209462561,1580.8790537439
2021-11-24,16560,14711.4695839452,1848.53041605477
2021-11-25,16820,14689.5012792768,2130.49872072321
2021-11-26,16725,14668.2227316586,2056.77726834138
2021-11-29,16080,14647.6415211585,1432.35847884146
2021-11-30,16105,14627.7660780345,1477.23392196554
2021-12-01,16215,14608.605424625,1606.39457537499
2021-12-02,14050,14590.1691938974,-540.169193897402
2021-12-03,14030,14572.4676828358,-542.46768283582
2021-12-06,14015,14555.5109651425,-540.510965142525
2021-12-07,14010,14539.308890284,-529.308890283997
2021-12-08,13830,14523.8710843014,-693.871084301391
2021-12-09,14130,14509.206954442,-379.206954441966
2021-12-10,14260,14495.3256211331,-235.325621133124
2021-12-13,14410,14482.2360480537,-72.2360480536906
2021-12-14,14260,14469.9471016091,-209.947101609104
2021-12-15,14300,14458.4676183456,-158.467618345625
2021-12-16,14350,14447.8063480247,-97.8063480247343
2021-12-17,14190,14437.9719749037,-247.971974903709
2021-12-20,14045,14428.9731428105,-383.973142810538
2021-12-21,14220,14420.8183930737,-200.818393073686
2021-12-22,14075,14413.5161083006,-338.51610830063
2021-12-23,14500,14407.0745880891,92.9254119109174
2021-12-24,14580,14401.5019921061,178.498007893901
2021-12-27,14490,14396.8065184323,93.1934815676684
2021-12-28,14605,14392.9964389341,212.003561065895
2021-12-29,14535,14390.080063997,144.919936002968
2021-12-30,14445,14388.0657916412,56.9342083587571
2021-12-31,14450,14386.9620797906,63.0379202094304
2022-01-04,14165,14386.7774099031,-221.777409903056
2022-01-05,14245,14387.5202894969,-142.520289496852
2022-01-06,14075,14389.1991344121,-314.199134412107
2022-01-07,13915,14391.8223015806,-476.822301580566
2022-01-10,13510,14395.3980180537,-885.398018053742
2022-01-11,13665,14399.9343137866,-734.934313786613
2022-01-12,13755,14405.4388527451,-650.438852745125
2022-01-13,13710,14411.9189951013,-701.918995101263
2022-01-14,13760,14419.3818321645,-659.381832164476
2022-01-17,13790,14427.8341650958,-637.834165095782
2022-01-18,13890,14437.2825224974,-547.282522497358
2022-01-19,13785,14447.7331693143,-662.733169314285
2022-01-20,13830,14459.1921442699,-629.192144269928
2022-01-21,13850,14471.6652121376,-621.665212137583
2022-01-24,13505,14485.1578776091,-980.157877609085
2022-01-25,13535,14499.6753884043,-964.675388404336
2022-01-26,13465,14515.2225870863,-1050.22258708634
2022-01-27,13240,14531.8039174585,-1291.80391745852
2022-01-28,13425,14549.4233892057,-1124.42338920571
2022-02-07,13705,14568.0844780317,-863.084478031703
2022-02-08,14790,14587.7901948514,202.209805148601
2022-02-09,14575,14608.5431938115,-33.5431938114624
2022-02-10,14630,14630.3462126479,-0.346212647926336
2022-02-11,14715,14653.2019752292,61.7980247707834
2022-02-14,14485,14677.1132052804,-192.113205280418
2022-02-15,14175,14702.0826520711,-527.082652071059
2022-02-16,14355,14728.1129854624,-373.11298546243
2022-02-17,14340,14755.2066574363,-415.206657436326
2022-02-18,14190,14783.3659657487,-593.365965748745
2022-02-21,13950,14812.593036522,-862.593036522034
2022-02-22,13835,14842.8897506074,-1007.88975060744
2022-02-23,13950,14874.2576322949,-924.257632294919
2022-02-24,14195,14906.6977892524,-711.697789252369
2022-02-25,14260,14940.2109470989,-680.210947098897
2022-02-28,14275,14974.7975372626,-699.797537262577
2022-03-01,14080,15010.4577100016,-930.457710001585
2022-03-02,14135,15047.1913263072,-912.191326307234
2022-03-03,13870,15084.9978625532,-1214.99786255319
2022-03-04,13890,15123.8764180555,-1233.87641805547
2022-03-07,13385,15163.8255898961,-1778.82558989607
2022-03-08,13290,15204.8434651199,-1914.84346511985
2022-03-09,13420,15246.9273954793,-1826.92739547933
2022-03-10,13320,15290.0739412075,-1970.07394120749
2022-03-11,13130,15334.2789073576,-2204.27890735757
2022-03-14,12840,15379.5372846374,-2539.53728463742
2022-03-15,12810,15425.8431525894,-2615.84315258945
2022-03-16,12625,15473.1895410151,-2848.18954101514
2022-03-17,12630,15521.5683984328,-2891.56839843277
2022-03-18,12650,15570.9704960342,-2920.9704960342
2022-03-21,13115,15621.3854097509,-2506.38540975089
2022-03-22,12935,15672.8015081041,-2737.80150810413
2022-03-23,12805,15725.2061235769,-2920.20612357694
2022-03-24,12850,15778.5854569519,-2928.58545695188
